,model_name,fold_idx,accuracy
0,LogisticRegression,0,0.29962825278810407
1,LogisticRegression,1,0.3013392857142857
2,LogisticRegression,2,0.29880774962742174
3,LogisticRegression,3,0.31865671641791044
4,LogisticRegression,4,0.30792227204783257
5,RandomForestClassifier,0,0.33011152416356876
6,RandomForestClassifier,1,0.33035714285714285
7,RandomForestClassifier,2,0.3301043219076006
8,RandomForestClassifier,3,0.33059701492537313
9,RandomForestClassifier,4,0.3310911808669656
10,KNeighborsClassifier,0,0.2936802973977695
11,KNeighborsClassifier,1,0.32663690476190477
12,KNeighborsClassifier,2,0.33084947839046197
13,KNeighborsClassifier,3,0.32985074626865674
14,KNeighborsClassifier,4,0.32884902840059793
15,XGBClassifier,0,0.31524163568773234
16,XGBClassifier,1,0.3169642857142857
17,XGBClassifier,2,0.31594634873323396
18,XGBClassifier,3,0.30970149253731344
19,XGBClassifier,4,0.30493273542600896
20,SVC,0,0.33011152416356876
21,SVC,1,0.33035714285714285
22,SVC,2,0.3301043219076006
23,SVC,3,0.33059701492537313
24,SVC,4,0.3310911808669656
25,MultinomialNB,0,0.3204460966542751
26,MultinomialNB,1,0.32217261904761907
27,MultinomialNB,2,0.3241430700447094
28,MultinomialNB,3,0.32686567164179103
29,MultinomialNB,4,0.328101644245142
