,model_name,fold_idx,accuracy
0,MultinomialNB,0,0.324907063197026
1,MultinomialNB,1,0.3273809523809524
2,MultinomialNB,2,0.32488822652757077
3,MultinomialNB,3,0.33059701492537313
4,MultinomialNB,4,0.328101644245142
5,XGBClassifier,0,0.30855018587360594
6,XGBClassifier,1,0.3072916666666667
7,XGBClassifier,2,0.29582712369597614
8,XGBClassifier,3,0.31865671641791044
9,XGBClassifier,4,0.3071748878923767
10,SVC,0,0.33011152416356876
11,SVC,1,0.33035714285714285
12,SVC,2,0.3301043219076006
13,SVC,3,0.33059701492537313
14,SVC,4,0.3310911808669656
0,KNeighborsClassifier,0,0.30631970260223046
1,KNeighborsClassifier,1,0.2931547619047619
2,KNeighborsClassifier,2,0.30476900149031294
3,KNeighborsClassifier,3,0.3
4,KNeighborsClassifier,4,0.2563527653213752
5,LogisticRegression,0,0.30111524163568776
6,LogisticRegression,1,0.3177083333333333
7,LogisticRegression,2,0.2995529061102832
8,LogisticRegression,3,0.3238805970149254
9,LogisticRegression,4,0.3221225710014948
10,RandomForestClassifier,0,0.33011152416356876
11,RandomForestClassifier,1,0.33035714285714285
12,RandomForestClassifier,2,0.3301043219076006
13,RandomForestClassifier,3,0.33059701492537313
14,RandomForestClassifier,4,0.3303437967115097
